t x
1 .04172680429847584
2 .3719068235047681
3 -.1854518483466153
4 -1.382974216431401
5 -2.875936522453156
6 -2.600176053007453
7 -1.104017187134235
8 -.4638511568356175
9 .8033906861716265
10 2.11483585328519
11 3.391249783366997
12 3.867391940473466
13 2.127335953479886
14 .6759060434747717
15 .7142936656480708
16 .389280438069999
17 -1.226819232545763
18 .02287442792962198
19 -.5732192397130377
20 -2.68376851168869
21 -4.808500950624286
22 -2.447976327050988
23 -1.739218174364682
24 -1.487730231335236
25 .6892096561394963
26 .402203077451688
27 -1.5878104119363
28 -2.073008479205036
29 -2.634081972890711
30 -3.543335586628324
31 -2.741163276196914
32 -2.544017495479148
33 -3.195708165665889
34 -.02623668630358996
35 .4166397413171453
36 -1.744857909336732
37 -3.048479942286393
38 -1.646929478645066
39 -1.7147819945862
40 .1134096472802352
41 1.550178686309567
42 .4731719185984332
43 -.185217912150212
44 -.05759090936757497
45 -1.32105322968914
46 -1.220718805083992
47 -1.538270849422501
48 .01277076391337448
49 -3.19955388294457
50 -3.110228329099266
51 -3.306219687148694
52 -2.005465365867605
53 .1808441459951977
54 .58776478827447
55 -.7023841400506234
56 -.3457093905034092
57 .9420924830863026
58 -.7817679140770204
59 1.30547320185374
60 -1.040547834643008
61 -1.068971597845246
62 -1.088499999020196
63 .06031171744649018
64 -.05724856155561805
65 -1.147310831738999
66 -.7926222139402959
67 -.5556545073271916
68 -1.559857502976172
69 -2.170626436012053
70 -1.077760171390109
71 .5156906714809133
72 2.306600496700704
73 1.535304259777942
74 2.558993008818136
75 1.838362765491026
76 1.080720136157138
77 1.341251818391637
78 -.8072930022766525
79 -1.427359240281361
80 -.4245620696312792
81 -.1162500344352845
82 -.7480746010268882
83 .7005271745158437
84 .08557376539118514
85 -.06039040618478834
86 .0447940692433916
87 -.1265732775274627
88 -1.300970207722752
89 .8158619225050577
90 -.1313975695304642
91 1.847256437455802
92 1.623647517763794
93 .3308066324063369
94 -.4082438491399241
95 -1.560085299571391
96 -1.631754084663744
97 -1.364186394141813
98 -.372093919792579
99 -.6583340117549624
100 2.03705931783681
